net,layer,area_um2,perim_um,C_lef_fF,R_ohm
p_met1,met1,2500.0,200.0,72.5594,0.125
w_met1,met1,140.0,2000.3,84.7543,892.857
m10_met1,met1,1000.0,2002.0,106.9935,125.000
m20_met1,met1,2000.0,2004.0,132.8531,62.500
p_met2,met2,2500.0,200.0,49.9076,0.125
w_met2,met2,140.0,2000.3,77.9005,892.857
m10_met2,met2,1000.0,2002.0,92.5358,125.000
m20_met2,met2,2000.0,2004.0,109.5536,62.500
p_met3,met3,2500.0,200.0,39.1301,0.047
w_met3,met3,300.0,2000.6,85.7145,156.667
m10_met3,met3,1000.0,2002.0,94.4329,47.000
m20_met3,met3,2000.0,2004.0,106.8878,23.500
p_met4,met4,2500.0,200.0,28.3736,0.047
w_met4,met4,300.0,2000.6,75.8986,156.667
m10_met4,met4,1000.0,2002.0,81.8407,47.000
m20_met4,met4,2000.0,2004.0,90.3294,23.500
p_met5,met5,2500.0,200.0,23.5718,0.029
w_met5,met5,1600.0,2003.2,87.9393,17.812
m16_met5,met5,1600.0,2003.2,87.9393,17.812
m20_met5,met5,2000.0,2004.0,90.4987,14.250
